Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-01-08T20:50:00Z,AES,6.878440444,42,Market,Filled,288.894498648, 
2016-01-08T20:50:00Z,CNX,7.72926462,33,Market,Filled,255.06573246, 
2016-01-08T20:50:00Z,CSX,6.936519274348,41,Market,Filled,284.39729024827, 
2016-01-08T20:50:00Z,F,8.52339411,27,Market,Filled,230.13164097, 
2016-01-08T20:50:00Z,FCX,5.108272465,76,Market,Filled,388.22870734, 
2016-01-08T20:50:00Z,HBAN,7.261694496,37,Market,Filled,268.682696352, 
2016-01-08T20:50:00Z,HPQ,8.220533037,29,Market,Filled,238.395458073, 
2016-01-08T20:50:00Z,KEY,8.633557611,26,Market,Filled,224.472497886, 
2016-01-08T20:50:00Z,KMI,9.733731303,20,Market,Filled,194.67462606, 
2016-01-08T20:50:00Z,MRO,9.249484098,23,Market,Filled,212.738134254, 
2016-01-08T20:50:00Z,NAVI,6.9467819,41,Market,Filled,284.8180579, 
2016-01-08T20:50:00Z,NVDA,7.233559749,37,Market,Filled,267.641710713, 
2016-01-08T20:50:00Z,RF,6.606885028,45,Market,Filled,297.30982626, 
2016-01-08T20:50:00Z,SWN,6.98,40,Market,Filled,279.2, 
2016-01-08T20:50:00Z,SYMC,8.447737212,27,Market,Filled,228.088904724, 
2016-01-11T20:50:00Z,AIV,4.5257860026712,96,Market,Filled,434.47545625644, 
2016-01-11T20:50:00Z,GME,5.668649181,61,Market,Filled,345.787600041, 
2016-01-11T20:50:00Z,YHOO,8.216130846,29,Market,Filled,238.267794534, 
2016-01-11T20:50:00Z,CNX,6.93037422,-33,Market,Filled,-228.70234926,Liquidated 
2016-01-11T20:50:00Z,FCX,4.03038011,-76,Market,Filled,-306.30888836,Liquidated 
2016-01-11T20:50:00Z,KMI,9.267719892,-20,Market,Filled,-185.35439784,Liquidated 
2016-01-11T20:50:00Z,MRO,8.536614418,-23,Market,Filled,-196.342131614,Liquidated 
2016-01-11T20:50:00Z,SWN,6.49,-40,Market,Filled,-259.6,Liquidated 
2016-01-12T20:50:00Z,FCX,3.861666524,133,Market,Filled,513.601647692, 
2016-01-12T20:50:00Z,LLL,1.749417792,776,Market,Filled,1357.548206592, 
2016-01-12T20:50:00Z,MRO,8.144536094,29,Market,Filled,236.191546726, 
2016-01-12T20:50:00Z,AES,6.569888958,-42,Market,Filled,-275.935336236,Liquidated 
2016-01-12T20:50:00Z,GME,5.3657295345,-61,Market,Filled,-327.3095016045,Liquidated 
2016-01-12T20:50:00Z,LLL,1.476659104,-776,Market,Filled,-1145.887464704,Liquidated 
2016-01-12T20:50:00Z,NAVI,6.8039,-41,Market,Filled,-278.9599,Liquidated 
2016-01-13T20:50:00Z,LLL,1.4108208,993,Market,Filled,1400.9450544, 
2016-01-13T20:50:00Z,NAVI,6.4228816,48,Market,Filled,308.2983168, 
2016-01-13T20:50:00Z,NRG,8.150645749,29,Market,Filled,236.368726721, 
2016-01-13T20:50:00Z,RIG,9.77,20,Market,Filled,195.4, 
